pair,quality
pair_0000,good
pair_0001,good
pair_0002,good
pair_0003,moderate
pair_0004,poor
pair_0005,moderate
pair_0006,good
pair_0007,good
pair_0008,good
pair_0009,good
pair_0010,good
pair_0011,poor
pair_0012,good
pair_0013,good
pair_0014,good
pair_0015,good
pair_0016,good
pair_0017,good
pair_0018,good
pair_0019,good
pair_0020,good
pair_0021,good
pair_0022,good
pair_0023,moderate
pair_0024,moderate
pair_0025,good
pair_0026,poor
pair_0027,good
pair_0028,good
pair_0029,good
pair_0030,good
pair_0031,good
pair_0032,good
pair_0033,good
pair_0034,moderate
pair_0035,good
pair_0036,good
pair_0037,poor
pair_0038,poor
pair_0039,moderate
pair_0040,good
pair_0041,moderate
pair_0042,good
pair_0043,good
pair_0044,good
pair_0045,good
pair_0046,good
pair_0047,good
pair_0048,good
pair_0049,good
pair_0050,good
pair_0051,good
pair_0052,good
pair_0053,poor
pair_0054,good
pair_0055,good
pair_0056,good
pair_0057,good
pair_0058,good
pair_0059,good
pair_0060,good
pair_0061,good
pair_0062,good
pair_0063,good
pair_0064,good
pair_0065,good
pair_0066,good
pair_0067,good
pair_0068,good
pair_0069,moderate
pair_0070,moderate
pair_0071,good
pair_0072,good
pair_0073,good
pair_0074,good
pair_0075,good
pair_0076,good
pair_0077,good
pair_0078,good
pair_0079,poor
pair_0080,good
pair_0081,good
pair_0082,good
pair_0083,good
pair_0084,good
pair_0085,good
pair_0086,poor
pair_0087,good
pair_0088,good
pair_0089,good
pair_0090,good
pair_0091,good
pair_0092,good
pair_0093,good
pair_0094,good
pair_0095,good
pair_0096,good
pair_0097,good
pair_0098,good
pair_0099,good
pair_0100,good
pair_0101,good
pair_0102,good
pair_0103,good
pair_0104,good
pair_0105,good
pair_0106,good
pair_0107,good
pair_0108,good
pair_0109,good
pair_0110,good
pair_0111,good
pair_0112,good
pair_0113,good
pair_0114,good
pair_0115,good
pair_0116,good
pair_0117,good
pair_0118,good
pair_0119,good
pair_0120,good
pair_0121,good
pair_0122,good
pair_0123,good
pair_0124,good
pair_0125,good
pair_0126,poor
pair_0127,good
pair_0128,good
pair_0129,good
pair_0130,good
pair_0131,good
pair_0132,good
pair_0133,good
pair_0134,good
